,count,mean,std,min,25%,50%,75%,max,range
Lat,1556510.0,12.881212096292348,4.596053895668624,5.48,8.76,12.76,16.759999999999998,20.76,15.280000000000001
Lon,1556510.0,102.10725284129238,2.4904747816656947,97.24,100.24,102.24,104.0,106.52,9.280000000000001
land1,1556510.0,228.51827485849753,521.9880889784662,0.0,0.0,0.0,15.0,1600.0,1600.0
land2,1556510.0,574.13009553424,590.0379115875639,0.0,12.0,332.0,1161.0,1600.0,1600.0
land3,1556510.0,678.8615897103134,625.4520731731425,0.0,50.0,515.0,1373.0,1600.0,1600.0
land4,1556510.0,7.05812041040533,12.36646400199926,0.0,0.0,2.0,8.0,134.0,134.0
land5,1556510.0,6.239142697444925,62.76197339731184,0.0,0.0,0.0,0.0,1545.0,1545.0
land6,1556510.0,105.14391940944806,123.57534170863696,0.0,10.0,59.0,162.0,828.0,828.0
land7,1556510.0,0.04885737965062865,0.39408911273777275,0.0,0.0,0.0,0.0,7.0,7.0
z,1556510.0,1917.8456209945512,2882.7986916199975,-183.9013448707906,2.9864276020408846,363.33885573424317,2659.138645494371,12984.071369824473,13167.972714695263
Month,1556510.0,7.652235449820432,0.4762744616410691,7.0,7.0,8.0,8.0,10.0,3.0
Day,1556510.0,18.523164643979158,8.352647818883177,1.0,13.0,19.0,25.0,31.0,30.0
Hour,1556510.0,11.71775382104837,6.878493467714337,0.0,6.0,12.0,18.0,23.0,23.0
IR,1556510.0,172.75298694110785,36.673158337690836,90.66666666666669,144.66666666666666,176.22222222222226,202.5555555555556,248.3703703703704,157.70370370370372
VIS,1556510.0,35.697609205018736,49.05122663350254,0.0,0.0,5.333333333333333,61.111111111111114,253.77777777777766,253.77777777777766
WV,1556510.0,232.67308667991074,6.133696366509663,208.0,228.0,232.0,236.77777777777766,253.11111111111111,45.111111111111114
Wind_Strength,1556510.0,3.875927507014166,2.5272153933995107,0.0018601171665878816,1.8145045574825287,3.2153929381505253,5.612206803663546,14.508743788424466,14.506883671257878
Wind_Direction,1556510.0,0.6653188815501829,0.7728528988052671,-3.141397488667008,0.2998171547085508,0.6249332085057935,1.0807236953180213,3.141541887421822,6.28293937608883
u10,1556510.0,2.7580743579445337,2.667001229953389,-14.372430041964568,0.7856080460564974,2.132214027554615,4.332600106727745,13.058667560227144,27.431097602191713
v10,1556510.0,1.8828430131704026,1.773320792836366,-13.824037489554481,0.7961021635405217,1.6326290253879958,2.6940227509534496,13.102427691990412,26.92646518154489
d2m,1556510.0,297.1851760754352,1.1179764176541171,289.31473596833064,296.7661406679052,297.3814184665872,297.8444284705555,302.3460410395562,13.031305071225574
t2m,1556510.0,300.23113413161275,2.2119027915872627,291.16275004486164,298.9889863412207,300.5659740391242,301.54274305807127,312.0045147626912,20.841764717829562
msl,1556510.0,99011.7785526729,3.7662605478366324,99011.7711610944,99011.7711610944,99011.7711610944,99011.7711610944,100977.81660995225,1966.0454488578544
sp,1556510.0,76862.41070269307,47.37652911971308,76862.31768613952,76862.31768613952,76862.31768613952,76862.31768613952,101077.34736135801,24215.029675218495
cp,1556510.0,0.2447490149938718,0.5866678588369693,-1.7347234759768067e-15,0.0005896938821597233,0.0325683017002071,0.2108155628727201,16.06117285091241,16.06117285091241
lsp,1556510.0,28.18519348433318,0.8447599295142446,0.0,28.210686303585014,28.210686303585014,28.210686303585014,28.210686303585014,28.210686303585014
t2m_Next,1556510.0,300.22933570791463,2.2136550943055555,291.16275004486164,298.9840924907071,300.5629948255796,301.54091806965596,312.0045147626912,20.841764717829562
cp_Next,1556510.0,0.24451564428987127,0.5855534783709648,-1.7347234759768067e-15,0.0005896938821597233,0.03254348541600195,0.2112032866002468,16.06117285091241,16.06117285091241
lsp_Next,1556510.0,28.210653399252642,0.01699133987001991,18.045576706003718,28.210686303585014,28.210686303585014,28.210686303585014,28.210686303585014,10.165109597581296
tp,1556510.0,28.429942499327073,1.0311543729199246,-1.7347234759768067e-15,28.21127599746718,28.24315632297153,28.42119473422745,44.27185915449744,44.27185915449744
tp_Next,1556510.0,28.455169043542448,0.5856125566095561,20.59165503314297,28.21127599746718,28.243228560472087,28.421883938952227,44.27185915449744,23.68020412135447
